district,state,full_imm_pct,mcv1_pct,dtp3_pct,bcg_pct,source,survey_year,mmr_coverage,dtp_coverage,bcg_coverage,herd_risk
bid,maharashtra,69.4,71.0,70.2,79.7,NFHS-5_2019-21,2021,0.71,0.702,0.797,False
hingoli,maharashtra,63.7,65.3,64.5,75.0,NFHS-5_2019-21,2021,0.653,0.645,0.75,True
jalna,maharashtra,66.1,67.7,66.9,77.4,NFHS-5_2019-21,2021,0.677,0.669,0.774,True
parbhani,maharashtra,61.2,62.8,62.0,73.5,NFHS-5_2019-21,2021,0.628,0.62,0.735,True
uttar_pradesh,uttar_pradesh,57.8,60.1,58.9,72.4,NFHS-5_2019-21,2021,0.601,0.589,0.724,True
bihar,bihar,64.5,66.8,65.6,77.1,NFHS-5_2019-21,2021,0.668,0.656,0.771,True
rajasthan,rajasthan,54.1,56.4,55.2,68.7,NFHS-5_2019-21,2021,0.564,0.552,0.687,True
madhya_pradesh,madhya_pradesh,67.3,69.6,68.4,79.9,NFHS-5_2019-21,2021,0.696,0.684,0.799,True
jharkhand,jharkhand,61.2,63.5,62.3,74.8,NFHS-5_2019-21,2021,0.635,0.623,0.748,True
chhattisgarh,chhattisgarh,68.9,71.2,70.0,81.5,NFHS-5_2019-21,2021,0.712,0.7,0.815,False
assam,assam,52.4,54.7,53.5,67.0,NFHS-5_2019-21,2021,0.547,0.535,0.67,True
nagaland,nagaland,33.6,35.9,34.7,49.2,NFHS-5_2019-21,2021,0.359,0.347,0.492,True
meghalaya,meghalaya,48.7,51.0,49.8,63.3,NFHS-5_2019-21,2021,0.51,0.498,0.633,True
maharashtra,maharashtra,79.6,81.9,80.7,90.2,NFHS-5_2019-21,2021,0.819,0.807,0.902,False
karnataka,karnataka,75.3,77.6,76.4,87.9,NFHS-5_2019-21,2021,0.776,0.764,0.879,False
kerala,kerala,89.1,91.4,90.2,96.7,NFHS-5_2019-21,2021,0.914,0.902,0.967,False
gujarat,gujarat,72.8,75.1,73.9,85.4,NFHS-5_2019-21,2021,0.751,0.739,0.854,False
tamil_nadu,tamil_nadu,80.2,82.5,81.3,91.8,NFHS-5_2019-21,2021,0.825,0.813,0.918,False
west_bengal,west_bengal,81.5,83.8,82.6,92.1,NFHS-5_2019-21,2021,0.838,0.826,0.921,False
andhra_pradesh,andhra_pradesh,73.4,75.7,74.5,86.0,NFHS-5_2019-21,2021,0.757,0.745,0.86,False
telangana,telangana,77.1,79.4,78.2,88.7,NFHS-5_2019-21,2021,0.794,0.782,0.887,False
odisha,odisha,74.6,76.9,75.7,87.2,NFHS-5_2019-21,2021,0.769,0.757,0.872,False
haryana,haryana,71.9,74.2,73.0,84.5,NFHS-5_2019-21,2021,0.742,0.73,0.845,False
punjab,punjab,78.3,80.6,79.4,89.9,NFHS-5_2019-21,2021,0.806,0.794,0.899,False
